running_id,participant_id,code,payoff,PQ1,PQ2,PQ3,PQ4,PQ6,PQ7,PQ8,PQ9,PQ10,gattitude_AI,IMC,age,gender,education,work_status,comp_skill,forecasting_skill,similar_exp,time_inst,time_total,tinst_ttot,a,b,running_id,page,round,test_round,AI_forecast,human_forecast,selected_forecast,select_human,selected_quant,pos_dir,large_mag,sort,sort_num,demand,adjustment,value,min_devtomean,dev_to_mean,h_AI_samedev,closer_to_mean,h_closer_tomean,adj_vs_mean,adj_vs_AI,earlier_rounds,later_rounds,directly_after_feedback,twor_after_feedback
11,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,11,1,3,0,7,10,Human,1,10,1,0,AI<D=H,9,8,3,0,0,0,0,1,1,0.3,0.428571429,1,0,0,0
12,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,12,1,4,0,14,24,AI,0,14,1,1,D<AI<H,1,15,10,0,4,4,0,1,0,1,0.714285714,1,0,0,0
13,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,13,1,5,0,7,4,Human,1,4,0,0,H<AI<D,7,6,-3,0,3,6,0,0,0,0.3,0.428571429,1,0,0,0
14,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,14,1,6,0,13,19,AI,0,13,1,1,D<AI<H,1,5,6,0,3,3,0,1,0,0.6,0.461538462,1,0,0,0
15,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,15,1,7,0,6,14,Human,1,14,1,1,AI<D<H,3,17,8,1,4,4,1,0,0,0.8,1.333333333,1,0,0,0
16,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,16,1,8,0,26,17,Human,1,17,0,1,D<H<AI,2,10,-9,1,7,7,0,1,1,0.9,0.346153846,1,0,0,0
17,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,17,2,9,0,12,8,AI,0,12,0,0,H<D<AI,8,17,-4,0,2,2,1,0,0,0.4,0.333333333,0,0,1,1
18,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,18,2,10,0,18,26,Human,1,26,1,1,D<AI<H,1,10,8,0,8,16,0,0,0,0.8,0.444444444,0,0,0,1
19,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,19,2,11,0,17,14,Human,1,14,0,0,D<H<AI,2,10,-3,1,4,4,0,1,1,0.3,0.176470588,0,0,0,0
20,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,20,2,12,0,10,8,Human,1,8,0,0,H<D=AI,6,4,-2,1,0,2,0,0,0,0.2,0.2,0,0,0,0
21,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,21,2,13,0,14,17,AI,0,14,1,0,D<AI<H,1,10,3,0,4,4,0,1,0,0.3,0.214285714,0,0,0,0
22,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,22,2,14,0,9,16,AI,0,9,1,1,AI<D<H,3,6,7,0,1,1,0,1,0,0.7,0.777777778,0,0,0,0
23,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,23,2,15,0,14,11,Human,1,11,0,0,D<H<AI,2,13,-3,0,1,1,0,1,1,0.3,0.214285714,0,0,0,0
24,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,24,2,16,0,4,7,AI,0,4,1,0,AI<H<D,10,6,3,1,3,6,0,0,1,0.3,0.75,0,0,0,0
25,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,25,3,17,0,13,4,AI,0,13,0,1,H<D<AI,8,7,-9,1,3,3,0,1,0,0.9,0.692307692,0,0,1,1
26,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,26,3,18,0,5,9,Human,1,9,1,0,AI<H<D,10,6,4,0,1,1,0,1,1,0.4,0.8,0,0,0,1
27,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,27,3,19,0,8,12,AI,0,8,1,0,AI<D<H,3,5,4,0,2,2,1,0,0,0.4,0.5,0,0,0,0
28,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,28,3,20,0,14,7,Human,1,7,0,1,H<D<AI,8,9,-7,1,3,3,0,1,1,0.7,0.5,0,0,0,0
29,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,29,3,21,0,12,21,AI,0,12,1,1,D<AI<H,1,10,9,0,2,2,0,1,0,0.9,0.75,0,0,0,0
30,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,30,3,22,0,11,8,Human,1,8,0,0,H<D<AI,8,12,-3,0,1,2,0,0,0,0.3,0.272727273,0,0,0,0
31,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,31,3,23,0,24,17,Human,1,17,0,1,D<H<AI,2,14,-7,1,7,7,0,1,1,0.7,0.291666667,0,0,0,0
32,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,32,3,24,0,16,3,AI,0,16,0,1,H<D<AI,8,5,-13,1,6,6,0,1,0,1.3,0.8125,0,0,0,0
33,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,33,4,25,0,10,14,AI,0,10,1,0,D=AI<H,4,13,4,1,0,0,0,1,0,0.4,0.4,0,0,1,1
34,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,34,4,26,0,10,3,Human,1,3,0,1,H<D=AI,6,9,-7,0,0,7,0,0,0,0.7,0.7,0,0,0,1
35,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,35,4,27,0,1,9,AI,0,1,1,1,AI<H<D,10,10,8,1,1,9,0,0,1,0.8,8,0,0,0,0
36,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,36,4,28,0,14,13,Human,1,13,0,0,D<H<AI,2,20,-1,0,3,3,0,1,1,0.1,0.071428571,0,0,0,0
37,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,37,4,29,0,12,9,Human,1,9,0,0,H<D<AI,8,10,-3,1,1,1,0,1,1,0.3,0.25,0,0,0,0
38,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,38,4,30,0,14,16,Human,1,16,1,0,D<AI<H,1,10,2,0,4,6,0,0,0,0.2,0.142857143,0,0,0,0
39,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,39,4,31,0,6,7,AI,0,6,1,0,AI<H<D,10,18,1,1,3,4,0,0,1,0.1,0.166666667,0,0,0,0
40,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,40,4,32,0,26,20,Human,1,20,0,1,D<H<AI,2,10,-6,1,10,10,0,1,1,0.6,0.230769231,0,0,0,0
41,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,41,5,33,0,10,12,AI,0,10,1,0,D=AI<H,4,19,2,1,0,0,0,1,0,0.2,0.2,0,0,1,1
42,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,42,5,34,0,17,15,Human,1,15,0,0,D<H<AI,2,19,-2,0,5,5,0,1,1,0.2,0.117647059,0,0,0,1
43,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,43,5,35,0,6,2,AI,0,6,0,0,H<AI<D,7,10,-4,0,4,4,0,1,0,0.4,0.666666667,0,0,0,0
44,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,44,5,36,0,8,15,Human,1,15,1,1,AI<D<H,3,7,7,0,2,5,0,0,0,0.7,0.875,0,0,0,0
45,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,45,5,37,0,12,23,Human,1,23,1,1,D<AI<H,1,13,11,0,2,13,0,0,0,1.1,0.916666667,0,0,0,0
46,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,46,5,38,0,19,11,AI,0,19,0,1,D<H<AI,2,9,-8,1,1,9,0,0,1,0.8,0.421052632,0,0,0,0
47,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,47,5,39,0,8,11,Human,1,11,1,0,AI<D<H,3,7,3,0,1,1,0,1,1,0.3,0.375,0,0,0,0
48,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,48,5,40,0,13,24,AI,0,13,1,1,D<AI<H,1,20,11,1,3,3,0,1,0,1.1,0.846153846,0,0,0,0
49,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,49,6,41,0,17,9,AI,0,17,0,1,H<D<AI,8,10,-8,1,1,7,0,0,1,0.8,0.470588235,0,1,1,1
50,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,50,6,42,0,9,12,Human,1,12,1,0,AI<D<H,3,10,3,0,1,2,0,0,0,0.3,0.333333333,0,1,0,1
51,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,51,6,43,0,3,6,Human,1,6,1,0,AI<H<D,10,10,3,1,4,4,0,1,1,0.3,1,0,1,0,0
52,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,52,6,44,0,7,14,AI,0,7,1,1,AI<D<H,3,10,7,0,3,3,0,1,0,0.7,1,0,1,0,0
53,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,53,6,45,0,20,14,AI,0,20,0,1,D<H<AI,2,22,-6,0,4,10,0,0,1,0.6,0.3,0,1,0,0
54,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,54,6,46,0,10,6,Human,1,6,0,0,H<D=AI,6,11,-4,0,0,4,0,0,0,0.4,0.4,0,1,0,0
55,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,55,6,47,0,6,12,AI,0,6,1,1,AI<D<H,3,7,6,0,2,4,0,0,1,0.6,1,0,1,0,0
56,1,0n1jcfs5,2.16,1,0,1,1,1,1,1,1,1,0.6,I read the instructions,41,Male,Bachelor,"Working (part-time, full-time, self-employed)",2,4,Not at all,2,10.73333333,0.186335404,22,26,56,6,48,0,12,4,Human,1,4,0,1,H<D<AI,8,1,-8,1,2,6,0,0,0,0.8,0.666666667,0,1,0,0
57,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,57,0,a,1,11,17,AI,0,11,1,1,D<AI<H,1,10,6,0,1,1,0,1,0,0.6,0.545454545,0,0,0,0
58,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,58,0,b,1,15,12,Human,1,12,0,0,D<H<AI,2,7,-3,1,2,2,0,1,1,0.3,0.2,0,0,0,0
59,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,59,0,c,1,9,11,Human,1,11,1,0,AI<D<H,3,12,2,1,1,1,1,0,0,0.2,0.222222222,0,0,0,0
60,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,60,0,d,1,17,11,Human,1,11,0,1,D<H<AI,2,15,-6,0,1,1,0,1,1,0.6,0.352941176,0,0,0,0
61,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,61,0,e,1,10,13,AI,0,10,1,0,D=AI<H,4,7,3,0,0,0,0,1,0,0.3,0.3,0,0,0,0
62,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,62,0,f,1,17,10,Human,1,10,0,1,D=H<AI,5,11,-7,1,0,0,0,1,1,0.7,0.411764706,0,0,0,0
63,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,63,0,g,1,12,18,AI,0,12,1,1,D<AI<H,1,16,6,1,2,2,0,1,0,0.6,0.5,0,0,0,0
64,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,64,0,h,1,10,9,AI,0,10,0,0,H<D=AI,6,15,-1,0,0,0,0,1,0,0.1,0.1,0,0,0,0
65,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,65,1,1,0,8,4,AI,0,8,0,0,H<AI<D,7,5,-4,1,2,2,0,1,0,0.4,0.5,1,0,1,1
66,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,66,1,2,0,15,9,Human,1,9,0,1,H<D<AI,8,11,-6,1,1,1,0,1,1,0.6,0.4,1,0,0,1
67,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,67,1,3,0,7,10,Human,1,10,1,0,AI<D=H,9,8,3,0,0,0,0,1,1,0.3,0.428571429,1,0,0,0
68,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,68,1,4,0,14,24,AI,0,14,1,1,D<AI<H,1,15,10,0,4,4,0,1,0,1,0.714285714,1,0,0,0
69,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,69,1,5,0,7,4,AI,0,7,0,0,H<AI<D,7,6,-3,0,3,3,0,1,0,0.3,0.428571429,1,0,0,0
70,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,70,1,6,0,13,19,AI,0,13,1,1,D<AI<H,1,5,6,0,3,3,0,1,0,0.6,0.461538462,1,0,0,0
71,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,71,1,7,0,6,14,Human,1,14,1,1,AI<D<H,3,17,8,1,4,4,1,0,0,0.8,1.333333333,1,0,0,0
72,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,72,1,8,0,26,17,Human,1,17,0,1,D<H<AI,2,10,-9,1,7,7,0,1,1,0.9,0.346153846,1,0,0,0
73,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,73,2,9,0,12,8,AI,0,12,0,0,H<D<AI,8,17,-4,0,2,2,1,0,0,0.4,0.333333333,0,0,1,1
74,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,74,2,10,0,18,26,AI,0,18,1,1,D<AI<H,1,10,8,0,8,8,0,1,0,0.8,0.444444444,0,0,0,1
75,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,75,2,11,0,17,14,AI,0,17,0,0,D<H<AI,2,10,-3,1,4,7,0,0,1,0.3,0.176470588,0,0,0,0
76,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,76,2,12,0,10,8,Human,1,8,0,0,H<D=AI,6,4,-2,1,0,2,0,0,0,0.2,0.2,0,0,0,0
77,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,77,2,13,0,14,17,AI,0,14,1,0,D<AI<H,1,10,3,0,4,4,0,1,0,0.3,0.214285714,0,0,0,0
78,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,78,2,14,0,9,16,Human,1,16,1,1,AI<D<H,3,6,7,0,1,6,0,0,0,0.7,0.777777778,0,0,0,0
79,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,79,2,15,0,14,11,Human,1,11,0,0,D<H<AI,2,13,-3,0,1,1,0,1,1,0.3,0.214285714,0,0,0,0
80,2,27492qbm,2.68,0,0,1,1,1,1,1,-1,1,1,I read the instructions,52,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,3,Not at all,4.233333333,10.63333333,0.398119122,24,24,80,2,16,0,4,7,AI,0,4,1,0,AI<H<D,10,6,3,1,3,6,0,0,1,0.3,0.75,0,0,0,0
